timestamp,month,hour,day_of_year,temperature,wind_speed,solar_radiation,cloud_cover
2019-01-01 00:00:00,1,0,1,-3.674296816562386,11.57483997138294,0.6471990072616248,0.7718721671116362
2019-01-01 01:00:00,1,1,1,-3.650158499414617,6.034409113263525,3.0890911596760646,0.4298354659038959
2019-01-01 02:00:00,1,2,1,-0.872348046383467,8.221598585331584,6.495583633602445,1.0
2019-01-01 03:00:00,1,3,1,1.9138684961639365,7.342434931734934,3.0121015671853457,1.0
2019-01-01 04:00:00,1,4,1,-0.8059048531093307,8.52226059313967,0.0,1.0
2019-01-01 05:00:00,1,5,1,-0.30636990503787115,10.831114780503986,0.0,0.8778830683284136
2019-01-01 06:00:00,1,6,1,3.4907005084299314,6.736175753642821,13.247430059843603,1.0
2019-01-01 07:00:00,1,7,1,1.6967734671663075,10.385127441843487,191.55859669541044,1.0
2019-01-01 08:00:00,1,8,1,-1.2765468755325622,7.574749633593812,408.35293501104155,1.0
2019-01-01 09:00:00,1,9,1,-0.04707112948018444,12.289400789609605,541.0622608047736,0.7859699286715549
2019-01-01 10:00:00,1,10,1,-3.0945605082097765,6.825136479094902,581.1703587561203,0.6237534160529578
2019-01-01 11:00:00,1,11,1,-4.30508940421276,11.51251990840354,688.4207361955272,0.48939114484839263
2019-01-01 12:00:00,1,12,1,-4.183800579452782,6.142632155379276,705.76401141021,0.3052170984448986
2019-01-01 13:00:00,1,13,1,-9.788380837413051,9.001066507556367,696.5346672668877,0.6696332421446215
2019-01-01 14:00:00,1,14,1,-10.617560787610916,10.464514414785945,624.5417655168422,0.7162657127618621
2019-01-01 15:00:00,1,15,1,-9.327834086999532,6.867056662053339,540.6340147917934,0.5769135662006439
2019-01-01 16:00:00,1,16,1,-11.02351438217589,7.405889742446217,369.5318401983418,0.8317380725613996
2019-01-01 17:00:00,1,17,1,-8.868859588839644,8.550918144561882,248.2214105288736,0.714920587087488
2019-01-01 18:00:00,1,18,1,-11.483773273627273,7.722278569212779,12.050156883118092,1.0
2019-01-01 19:00:00,1,19,1,-12.321961656700777,7.225997627998901,0.0,0.6825804083095293
2019-01-01 20:00:00,1,20,1,-6.066554603663937,11.281403448615482,0.0,0.6479795599363326
2019-01-01 21:00:00,1,21,1,-8.654811629490661,12.794223195207222,30.189453536587923,0.8108861214943435
2019-01-01 22:00:00,1,22,1,-7.032668713209006,12.488212182909212,0.0,1.0
2019-01-01 23:00:00,1,23,1,-8.811316720524374,9.83873743182982,0.0,0.6272447740062683
2019-01-02 00:00:00,1,0,2,-5.700272276636673,10.360019034366818,0.5348603562615216,1.0
2019-01-02 01:00:00,1,1,2,-3.0955664226539716,6.661925554141385,47.546105926058274,0.5355386477548965
2019-01-02 02:00:00,1,2,2,-4.413493982430913,8.36052815600356,65.35177159774388,0.8147070995130807
2019-01-02 03:00:00,1,3,2,-0.32457688496222614,8.823104115173525,0.0,0.5814410492114107
2019-01-02 04:00:00,1,4,2,-1.4826571885017246,9.365700272491868,53.04143434929421,0.34207640179529253
2019-01-02 05:00:00,1,5,2,-0.3652651957275195,9.311427594358285,3.6133954884448936,0.9373466355869897
2019-01-02 06:00:00,1,6,2,-0.8149200520451012,8.609229336441587,0.0,0.828494052905716
2019-01-02 07:00:00,1,7,2,3.9226786728769096,9.85088959880703,184.54609748068046,0.5069907745350849
2019-01-02 08:00:00,1,8,2,-0.30837425813998154,9.17601001903886,326.35041068096314,0.610733503034983
2019-01-02 09:00:00,1,9,2,-3.1913947795653694,9.16919283375653,551.2041340800693,0.7402892856618374
2019-01-02 10:00:00,1,10,2,-0.46641700337992975,7.026005997243485,617.5707452057576,0.5306187200987734
2019-01-02 11:00:00,1,11,2,-5.759098902015747,6.351474117489214,626.3468590329577,0.5345423036315387
2019-01-02 12:00:00,1,12,2,-4.193779637576796,9.38112120543219,639.6058932786536,0.4843649605673288
2019-01-02 13:00:00,1,13,2,-9.824942300858462,7.542648193470555,689.1935164900586,0.4578181004592265
2019-01-02 14:00:00,1,14,2,-9.767878925383167,7.1038137999823014,497.8436346504968,0.4851811985479917
2019-01-02 15:00:00,1,15,2,-7.753318261780796,10.613788389229075,479.38432556478733,0.5269847670168275
2019-01-02 16:00:00,1,16,2,-7.464700686517677,8.387468282771762,368.8473331991828,0.5634276994173241
2019-01-02 17:00:00,1,17,2,-9.098399396651708,13.612469347282964,132.09909910183126,0.582951641563022
2019-01-02 18:00:00,1,18,2,-9.842803392362788,10.211073523238998,49.69935784526657,0.788113811088373
2019-01-02 19:00:00,1,19,2,-10.043343350210227,6.924658827688162,59.5503274875346,0.7360707041663355
2019-01-02 20:00:00,1,20,2,-11.898677827243354,10.661192036693645,0.0,0.6497165485288002
2019-01-02 21:00:00,1,21,2,-9.586729150308463,9.691312021281858,0.0,1.0
2019-01-02 22:00:00,1,22,2,-8.032784369505885,6.865212092329344,49.73465756607357,1.0
2019-01-02 23:00:00,1,23,2,-3.791357600661084,7.306173128995969,0.0,0.8640357197112589
2019-01-03 00:00:00,1,0,3,-3.863722248635683,10.53139938051968,0.0,0.8823862986553515
2019-01-03 01:00:00,1,1,3,-6.78294391298547,5.772385076292488,0.0,0.7305789078952641
2019-01-03 02:00:00,1,2,3,-1.402790888983016,5.530811129614416,0.0,1.0
2019-01-03 03:00:00,1,3,3,-1.7855894826725014,9.054205130097696,55.40989482129427,1.0
2019-01-03 04:00:00,1,4,3,-1.5746758094623303,8.842413247597715,30.29660471622943,0.8363329352640513
2019-01-03 05:00:00,1,5,3,1.5020228813544716,9.312160039353286,0.0,0.7648023953906793
2019-01-03 06:00:00,1,6,3,2.5110402172192963,8.850237915322019,7.107400626502026,0.9373867542601527
2019-01-03 07:00:00,1,7,3,2.141230541905133,9.85946932255863,117.80615977307902,0.8172321963461052
2019-01-03 08:00:00,1,8,3,-1.899266855295689,12.96876779998812,316.2499930259969,0.6190606059777257
2019-01-03 09:00:00,1,9,3,-1.6338496735422972,8.604553869479064,578.2091038675511,0.7511988333196895
2019-01-03 10:00:00,1,10,3,-1.3884319649654782,6.058793401748581,615.7158312344095,0.7969156014118315
