timestamp,month,hour,day_of_year,temperature,wind_speed,solar_radiation,cloud_cover,day_of_week,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2019-01-01 00:00:00,1,0,1,-3.674296816562386,11.57483997138294,0.6471990072616248,0.7718721671116362,1,0.0,1.0,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 01:00:00,1,1,1,-3.650158499414617,6.034409113263525,3.0890911596760646,0.4298354659038959,1,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 02:00:00,1,2,1,-0.872348046383467,8.221598585331584,6.495583633602445,1.0,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 03:00:00,1,3,1,1.9138684961639365,7.342434931734934,3.0121015671853457,1.0,1,0.7071067811865475,0.7071067811865476,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 04:00:00,1,4,1,-0.8059048531093307,8.52226059313967,0.0,1.0,1,0.8660254037844386,0.5000000000000001,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 05:00:00,1,5,1,-0.3063699050378711,10.831114780503986,0.0,0.8778830683284136,1,0.9659258262890683,0.25881904510252074,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 06:00:00,1,6,1,3.4907005084299314,6.736175753642821,13.247430059843603,1.0,1,1.0,6.123233995736766e-17,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 07:00:00,1,7,1,1.6967734671663075,10.385127441843489,191.55859669541044,1.0,1,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 08:00:00,1,8,1,-1.2765468755325622,7.574749633593812,408.3529350110415,1.0,1,0.8660254037844387,-0.49999999999999983,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 09:00:00,1,9,1,-0.0470711294801844,12.289400789609603,541.0622608047736,0.7859699286715549,1,0.7071067811865476,-0.7071067811865475,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 10:00:00,1,10,1,-3.0945605082097765,6.825136479094902,581.1703587561203,0.6237534160529578,1,0.49999999999999994,-0.8660254037844387,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 11:00:00,1,11,1,-4.30508940421276,11.51251990840354,688.4207361955272,0.4893911448483926,1,0.258819045102521,-0.9659258262890682,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 12:00:00,1,12,1,-4.183800579452782,6.142632155379276,705.76401141021,0.3052170984448986,1,1.2246467991473532e-16,-1.0,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 13:00:00,1,13,1,-9.788380837413053,9.001066507556367,696.5346672668877,0.6696332421446215,1,-0.2588190451025208,-0.9659258262890683,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 14:00:00,1,14,1,-10.617560787610916,10.464514414785944,624.5417655168422,0.7162657127618621,1,-0.4999999999999998,-0.8660254037844388,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
2019-01-01 15:00:00,1,15,1,-9.327834086999532,6.867056662053339,540.6340147917934,0.5769135662006439,1,-0.7071067811865471,-0.7071067811865479,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
