timestamp,solar_generation,wind_generation,hour,day_of_year,month,day_of_week
2019-01-01 00:00:00,0.0,45.792317193229394,0,1,1,1
2019-01-01 01:00:00,0.0,20.813637349037492,1,1,1,1
2019-01-01 02:00:00,0.0,47.09450792269831,2,1,1,1
2019-01-01 03:00:00,0.0,40.08815829082578,3,1,1,1
2019-01-01 04:00:00,0.0,40.08398802861709,4,1,1,1
2019-01-01 05:00:00,0.0,59.81909986150835,5,1,1,1
2019-01-01 06:00:00,0.0,41.69263253449565,6,1,1,1
2019-01-01 07:00:00,19.658682563024456,62.6986456113327,7,1,1,1
2019-01-01 08:00:00,38.98734932979011,45.77528532794683,8,1,1,1
2019-01-01 09:00:00,46.0184587518876,38.05520321842685,9,1,1,1
2019-01-01 10:00:00,56.92365773570033,51.55681550274551,10,1,1,1
2019-01-01 11:00:00,71.20323950554457,34.950051829375205,11,1,1,1
2019-01-01 12:00:00,70.4102561481465,25.768374162366907,12,1,1,1
2019-01-01 13:00:00,61.248448389325645,22.94701529658102,13,1,1,1
2019-01-01 14:00:00,58.17297298444337,44.117409513165384,14,1,1,1
2019-01-01 15:00:00,45.474477022517355,44.91629193043664,15,1,1,1
2019-01-01 16:00:00,36.900849836248184,29.472241222499747,16,1,1,1
2019-01-01 17:00:00,19.500168858418785,31.209340814498344,17,1,1,1
2019-01-01 18:00:00,9.583788441996574e-15,30.72197145630116,18,1,1,1
2019-01-01 19:00:00,0.0,27.795432584808665,19,1,1,1
2019-01-01 20:00:00,0.0,29.213183360490586,20,1,1,1
2019-01-01 21:00:00,0.0,33.55063178959575,21,1,1,1
2019-01-01 22:00:00,0.0,37.361480747973715,22,1,1,1
2019-01-01 23:00:00,0.0,50.45912503401716,23,1,1,1
2019-01-02 00:00:00,0.0,54.2656864970055,0,2,1,2
2019-01-02 01:00:00,0.0,53.43917440614572,1,2,1,2
2019-01-02 02:00:00,0.0,54.06951533898007,2,2,1,2
2019-01-02 03:00:00,0.0,64.05282009664796,3,2,1,2
2019-01-02 04:00:00,0.0,70.70638496022039,4,2,1,2
2019-01-02 05:00:00,0.0,71.1642650821391,5,2,1,2
2019-01-02 06:00:00,0.0,71.48856693469799,6,2,1,2
